Milliseconds,PackVoltx100,Ampsx100,RPM
0,1250,37,0
100,1250,37,0
200,1250,37,0
300,1250,37,0
400,1250,37,0
500,1248,37,0
600,1250,37,0
700,1248,37,0
800,1250,37,0
900,1250,37,0
1000,1250,37,0
1100,1250,37,0
1200,1250,37,0
1300,1248,37,0
1400,1250,37,0
1500,1248,37,0
1600,1248,46,0
1700,1248,37,0
1800,1248,37,0
1900,1248,37,0
2000,1248,37,0
2100,1248,37,0
2200,1250,37,0
2300,1250,37,0
2400,1250,37,0
2500,1250,37,0
2600,1250,37,0
2700,1248,37,0
2800,1248,37,0
2900,1248,37,0
3000,1248,37,0
3100,1248,27,0
3200,1248,27,0
3300,1250,27,0
3400,1250,27,0
3500,1248,27,0
3600,1250,27,0
3700,1250,27,0
3800,1250,27,0
3900,1250,27,0
4000,1250,27,0
4100,1250,27,0
4200,1250,27,0
4300,1250,27,0
4400,1250,27,0
4500,1250,27,0
4600,1248,27,0
4700,1250,27,0
4800,1250,27,0
4900,1250,27,0
5000,1250,27,0
5100,1250,27,0
5200,1250,27,0
5300,1250,27,0
5400,1250,27,0
5500,1250,27,0
5600,1248,27,0
5700,1248,27,0
5800,1250,27,0
5900,1250,27,0
6000,1250,27,0
6100,1250,27,0
6200,1250,27,0
6300,1250,27,0
6400,1250,27,0
6500,1248,27,0
6600,1248,27,0
6700,1248,27,0
6800,1248,27,0
6900,1248,27,0
7000,1248,27,0
7100,1242,148,10020
7200,1244,111,10020
7300,1242,130,10020
7400,1246,55,10020
7500,1246,55,10020
7600,1246,55,0
7700,1246,55,0
7800,1246,55,0
7900,1246,55,1820
8000,1246,55,1842
8100,1246,55,1822
8200,1246,55,1799
8300,1246,55,1781
8400,1246,55,1783
8500,1246,55,1781
8600,1246,55,1802
8700,1246,55,1774
8800,1246,55,1780
8900,1246,55,1799
9000,1246,55,1771
9100,1246,55,1746
9200,1246,55,1779
9300,1246,55,1759
9400,1246,55,1780
9500,1246,55,1777
9600,1246,55,1781
9700,1246,55,1792
9800,1246,55,1811
9900,1246,55,1813
10000,1246,55,1782
10100,1246,55,1779
10200,1246,55,1758
10300,1246,55,1776
10400,1246,55,1776
10500,1246,55,1774
10600,1246,55,1779
10700,1246,55,1772
10800,1244,55,1780
10900,1244,55,1778
11000,1244,55,1779
11100,1244,55,1779
11200,1244,55,1768
11300,1246,55,1753
11400,1246,55,1775
11500,1246,55,1747
11600,1246,55,1775
11700,1246,55,1753
11800,1244,55,1747
11900,1246,55,1745
12000,1244,55,1774
12100,1244,55,1783
12200,1244,55,1774
12300,1244,55,1776
12400,1244,55,1746
12500,1246,55,1777
12600,1246,55,1771
12700,1246,55,1763
12800,1246,55,1750
12900,1246,55,1763
13000,1246,55,1747
13100,1246,55,1767
13200,1246,55,1776
13300,1246,55,1776
13400,1246,55,1757
13500,1246,55,1767
13600,1246,55,1781
13700,1244,55,1774
13800,1246,55,1783
13900,1244,55,1751
14000,1244,55,1776
14100,1246,55,1759
14200,1246,55,1777
14300,1246,55,1747
14400,1246,55,1753
14500,1246,55,1753
14600,1246,55,1776
14700,1244,55,1785
14800,1244,55,1775
14900,1244,55,1805
15000,1244,55,1774
15100,1244,55,1751
15200,1244,55,1772
15300,1244,55,1768
15400,1244,55,1774
